timestamp,model_name,engine,arch,active_params,size_gb,prompt_id,prompt_type,output_tokens,input_tokens,tok_per_sec,ttft_sec,wall_sec,tool_calls_count,tool_call_correct,content_preview,community_toks,error
2026-04-02T14:36:14.137249,qwen3.5:9b,ollama,dense,all,6.6,hello,chat,735,17,36.41,0.063,20.58,0,False,Hello Hola Bonjour,35,
2026-04-02T14:36:34.720367,qwen3.5:9b,ollama,dense,all,6.6,reasoning,reasoning,4080,41,35.96,0.064,114.83,0,False,"The farmer has **9** sheep left.  Here is the step-by-step reasoning:  1.  **Identify the Total:** The farmer starts with 17 sheep. 2.  **Analyze the Phrase ""All but 9"":** In this context, the word ""b",35,
2026-04-02T14:38:29.554095,qwen3.5:9b,ollama,dense,all,6.6,code,code,1046,37,36.25,0.054,29.3,0,False,"Here's a Python function that finds the longest palindromic substring in a given string using the expand-around-center approach. It includes proper type hints, a docstring, and includes edge case hand",35,
2026-04-02T14:38:58.851467,qwen3.5:9b,ollama,dense,all,6.6,long_output,generation,1760,26,36.15,0.054,49.29,0,False,"**The Decentralized Frontier: The Future of Edge AI Computing**  The architecture of modern artificial intelligence is undergoing a profound shift. For two decades, intelligence was centralized in vas",35,
2026-04-02T14:39:48.143837,qwen3.5:9b,ollama,dense,all,6.6,chinese,chat,3200,31,36.01,0.052,89.86,0,False,"### 混合专家模型（Mixture of Experts, MoE）详解  **混合专家模型（Mixture of Experts, MoE）** 是一种神经网络架构设计，其核心理念是：**将一个大模型拆分成多个更小的子网络（称为“专家”），并通过一个“门控网络”（Gating Network）决定对于每一个输入样本，只激活其中的一部分专家进行处理。**  这种架构允许模型在保持巨大参数量的同时",35,
2026-04-02T14:41:56.036373,qwen3.5:35b,ollama,moe,3B,23,hello,chat,836,17,55.7,0.088,17.3,0,False,1. **English:** Hello 2. **Spanish:** Hola 3. **Mandarin Chinese:** Nǐ hǎo (你好),57,
2026-04-02T14:42:13.338225,qwen3.5:35b,ollama,moe,3B,23,reasoning,reasoning,1273,41,56.74,0.108,23.14,0,False,"The farmer has **9** sheep left.  Here is the step-by-step reasoning:  1.  **Identify the starting amount:** The farmer begins with 17 sheep. 2.  **Analyze the condition:** The statement says, ""All bu",57,
2026-04-02T14:42:36.483590,qwen3.5:35b,ollama,moe,3B,23,code,code,1048,37,56.73,0.113,19.26,0,False,"```python from typing import Tuple  def longest_palindromic_substring(s: str) -> str:     """"""     Find the longest palindromic substring in a given string.      This function uses the ""expand around c",57,
2026-04-02T14:42:55.738848,qwen3.5:35b,ollama,moe,3B,23,long_output,generation,2002,26,56.25,0.112,36.52,0,False,"**The Dawn of Distributed Intelligence: The Future of Edge AI**  The evolution of artificial intelligence is shifting from centralized clouds to the physical edge of the network. Traditionally, AI rel",57,
2026-04-02T14:43:32.260374,qwen3.5:35b,ollama,moe,3B,23,chinese,chat,3191,31,56.69,0.085,57.57,0,False,混合专家模型（Mixture of Experts，简称 **MoE**）是近年来人工智能（特别是大语言模型 LLM）领域非常热门的一种架构设计。  简单来说，MoE 的核心理念是**“术业有专攻”**。它不再使用单一的巨大神经网络处理所有输入，而是由多个小型的神经网络（称为“专家”，Experts）组成，配合一个“门控网络”（Gating Network / Router）来智能选择哪部分专家来,57,
2026-04-02T14:45:37.142737,qwen3.5:27b,ollama,dense,all,17,hello,chat,1072,17,11.13,0.157,97.79,0,False,Here are greetings in three different languages:  *   **Spanish:** Hola *   **French:** Bonjour *   **Japanese:** こんにちは (Konnichiwa),13,
2026-04-02T14:47:14.936806,qwen3.5:27b,ollama,dense,all,17,reasoning,reasoning,1180,41,11.16,0.167,106.39,0,False,"The farmer has **9** sheep left.  Here is the step-by-step reasoning:  1.  **Identify the total:** The farmer starts with 17 sheep. 2.  **Analyze the phrase:** The statement ""All but 9 run away"" means",13,
2026-04-02T14:49:01.331152,qwen3.5:27b,ollama,dense,all,17,code,code,616,37,11.18,0.159,55.77,0,False,"```python from typing import List  def longest_palindromic_substring(s: str) -> str:     """"""     Find the longest palindromic substring in a given string.      A palindromic substring reads the same f",13,
2026-04-02T14:49:57.098854,qwen3.5:27b,ollama,dense,all,17,long_output,generation,3215,26,11.12,0.165,290.33,0,False,"The paradigm of modern computing is undergoing a seismic shift. For over a decade, artificial intelligence (AI) has been synonymous with the centralized cloud, where massive server farms process data ",13,
2026-04-02T14:54:47.428697,qwen3.5:27b,ollama,dense,all,17,chinese,chat,3040,31,11.13,0.164,274.48,0,False,"混合专家模型（Mixture of Experts, 简称 **MoE**）是一种在深度学习和大语言模型（LLM）领域非常流行的架构设计。它的核心理念是“分而治之”，通过让不同的子网络（专家）处理不同的输入数据，从而在保证模型规模（参数量）巨大的同时，降低实际计算成本。  以下是对 MoE 的详细解释，以及它与稠密模型（Dense Model）的对比分析。  ---  ### 一、什么是混合专家模",13,
2026-04-02T14:59:37.480284,qwen3:32b,ollama,dense,all,20,hello,chat,270,17,10.0,2.082,29.28,0,False,Hello! Here's how to greet someone in three languages:    1. **English**: Hello!   2. **Spanish**: ¡Hola!   3. **French**: Bonjour!    Let me know if you'd like more languages! 😊,10,
2026-04-02T15:00:06.758746,qwen3:32b,ollama,dense,all,20,reasoning,reasoning,1275,41,9.88,0.171,129.57,0,False,"The farmer has **9 sheep left**.   **Step-by-Step Explanation:**  1. **Total Sheep Initially:** The farmer starts with 17 sheep. 2. **Understanding ""All but 9"":** The phrase ""all but 9"" means that **9",10,
2026-04-02T15:02:16.331908,qwen3:32b,ollama,dense,all,20,code,code,0,0,0,,0,0,False,,10,timed out
2026-04-02T15:07:16.463158,qwen3:32b,ollama,dense,all,20,long_output,generation,1541,26,9.87,0.131,156.67,0,False,"**The Future of Edge AI Computing**    The rapid advancement of artificial intelligence (AI) has transformed industries, but the traditional reliance on cloud computing for AI processing is evolving. ",10,
2026-04-02T15:09:53.137015,qwen3:32b,ollama,dense,all,20,chinese,chat,1683,33,6.42,0.137,262.67,0,False,"混合专家模型（Mixture of Experts, MoE）是一种模型架构设计方法，其核心思想是将任务分解为多个子任务，并由不同的“专家”模型（expert）分别处理，最后通过一个“门控机制”（gating mechanism）将专家的输出结果组合起来。MoE的典型结构包括以下几个组件：  1. **门控网络**（Gating Network）：根据输入数据动态选择一组专家模型（例如Top-k个",10,
