timestamp,model_name,engine,arch,active_params,size_gb,prompt_id,prompt_type,output_tokens,input_tokens,tok_per_sec,ttft_sec,wall_sec,tool_calls_count,tool_call_correct,content_preview,community_toks,error
2026-04-02T15:11:47.782655,qwen3.5:9b,ollama,dense,all,6.6,hello,chat,351,17,13.95,0.134,25.69,0,False,Hello! Hola! Bonjour!,35,
2026-04-02T15:12:13.476584,qwen3.5:9b,ollama,dense,all,6.6,reasoning,reasoning,3948,41,21.47,0.119,185.79,0,False,"The farmer has **9** sheep left.  Here is the step-by-step reasoning:  1.  **Identify the total:** The farmer starts with 17 sheep. 2.  **Analyze the phrase ""All but 9"":** In this context, the word ""b",35,
2026-04-02T15:15:19.264158,qwen3.5:9b,ollama,dense,all,6.6,code,code,1813,37,36.58,0.066,50.23,0,False,"```python def longest_palindromic_substring(s: str) -> str:     """"""     Finds the longest palindromic substring in a given string.          This function uses the expand around center approach to effi",35,
2026-04-02T15:16:09.490588,qwen3.5:9b,ollama,dense,all,6.6,long_output,generation,5097,26,36.27,0.053,141.96,0,False,"The trajectory of artificial intelligence has long been tied to centralized data centers. However, the future of edge AI computing signals a decisive shift towards decentralized intelligence. As the I",35,
2026-04-02T15:18:31.448488,qwen3.5:9b,ollama,dense,all,6.6,chinese,chat,2962,31,36.05,0.062,83.07,0,False,"### 什么是混合专家模型（Mixture of Experts, MoE）？  **混合专家模型（Mixture of Experts，简称 MoE）** 是一种特殊的神经网络架构设计。它的核心思想类似于人类社会的“专科分工”：将一个巨大的模型拆分成多个功能各异的小模块（称为“专家”，Experts），并在输入数据进入模型时，通过一个路由机制（称为“门控网络”，Gating Network）决定",35,
2026-04-02T15:20:18.822828,qwen3.5:35b,ollama,moe,3B,23,hello,chat,764,17,57.27,0.083,13.85,0,False,Here are three ways to say hello:  1.  **English:** Hello 2.  **Spanish:** Hola 3.  **French:** Bonjour,57,
2026-04-02T15:20:32.669868,qwen3.5:35b,ollama,moe,3B,23,reasoning,reasoning,2662,41,57.14,0.108,47.76,0,False,"Here is the step-by-step reasoning to solve this riddle:  **Step 1: Identify the starting number.** The farmer starts with **17** sheep.  **Step 2: Analyze the phrase ""All but 9 run away.""** The phras",57,
2026-04-02T15:21:20.427226,qwen3.5:35b,ollama,moe,3B,23,code,code,472,37,57.65,0.092,8.59,0,False,"```python def longest_palindromic_substring(s: str) -> str:     """"""     Find the longest palindromic substring in the given string.      Args:         s (str): The input string.      Returns:         ",57,
2026-04-02T15:21:29.020503,qwen3.5:35b,ollama,moe,3B,23,long_output,generation,2608,26,57.52,0.09,46.4,0,False,"The landscape of artificial intelligence is undergoing a fundamental shift, moving away from its historical reliance on centralized cloud computing toward a distributed model known as edge AI. While c",57,
2026-04-02T15:22:15.421649,qwen3.5:35b,ollama,moe,3B,23,chinese,chat,3105,31,57.67,0.099,55.06,0,False,混合专家模型（Mixture of Experts，简称 **MoE**）是近年来深度学习，尤其是大语言模型（LLM）领域的一项关键架构创新。  以下是对 MoE 的详细解释，包括其核心原理、与 Dense 模型的对比，以及其优势和劣势的深度分析。  ---  ### 1. 什么是混合专家模型 (MoE)？  #### 核心概念 MoE 的核心思想来源于认知科学：**“术业有专攻”**。 传统模型,57,
